"country","birthRate","pop2022"
"Angola","43.7000","35027.3430"
"Niger","43.6000","26083.6600"
"Mali","43.2000","21473.7640"
"Chad","43","17413.5800"
"Uganda","42.4000","48432.8630"
"Zambia","41.1000","19470.2340"
"Burundi","40.9000","12624.8400"
"Malawi","40.7000","20180.8390"
"Somalia","39.3000","16841.7950"
"Liberia","37.9000","5305.1170"
"Mozambique","37.8000","33089.4610"
"Afghanistan","37.5000","40754.3880"
"Guinea-Bissau","37.3000","2063.3670"
"South Sudan","36.9000","11618.5110"
"Burkina Faso","36.9000","22102.8380"
"Guinea","36.4000","13865.6910"
"Sierra Leone","36","8306.4360"
"Ethiopia","36","120812.6980"
"Tanzania","35.3000","63298.5500"
"Nigeria","35.2000","216746.9340"
"Cameroon","35","27911.5480"
"Benin","34.5000","12784.7260"
"Sudan","34.2000","45992.0200"
"Central African Republic","34","5016.6780"
"Zimbabwe","34","15331.4280"
"Republic of the Congo","33.7000","5797.8050"
"Timor-Leste","32.9000","1369.4290"
"Senegal","32.9000","17653.6710"
"Togo","32.8000","8680.8370"
"DR Congo","32.8000","95240.7920"
"Equatorial Guinea","31.7000","1496.6620"
"Sao Tome and Principe","31.5000","227.6790"
"Madagascar","31","29178.0770"
"Ghana","30.2000","32395.4500"
"Ivory Coast","30.1000","27742.2980"
"Iraq","30","42164.9650"
"Mauritania","29.9000","4901.9810"
"Rwanda","29.8000","13600.4640"
"Eritrea","29.1000","3662.2440"
"Egypt","28.8000","106156.6920"
"Yemen","27.6000","31154.8670"
"Namibia","26.8000","2633.8740"
"Comoros","25.3000","907.4190"
"Guatemala","24.6000","18584.0390"
"Solomon Islands","24.5000","721.1590"
"Lesotho","24.2000","2175.6990"
"Marshall Islands","23.8000","60.0570"
"Tuvalu","23.7000","12.0660"
"Oman","23.7000","5323.9930"
"Jordan","23.6000","10300.8690"
"Vanuatu","23.5000","321.8320"
"Philippines","23.4000","112508.9940"
"Djibouti","23.3000","1016.0970"
"Papua New Guinea","23.3000","9292.1690"
"Nauru","23.2000","10.9030"
"Laos","23.2000","7481.0230"
"Belize","22.9000","412.1900"
"Tajikistan","22.8000","9957.4640"
"Haiti","22.6000","11680.2830"
"Kenya","22.6000","56215.2210"
"Cambodia","22.5000","17168.6390"
"Honduras","22","10221.2470"
"Tonga","21.8000","107.7490"
"Botswana","21.7000","2441.1620"
"Kyrgyzstan","21.6000","6728.2710"
"Bolivia","21.6000","11992.6560"
"Pakistan","21.6000","229488.9940"
"Algeria","21.5000","45350.1480"
"Kiribati","21","123.4190"
"Syria","20.7000","19364.8090"
"Samoa","20.2000","202.2390"
"South Africa","19.9000","60756.1350"
"Cape Verde","19.7000","567.6780"
"Micronesia","19.6000","117.4890"
"Guam","19.4000","171.5190"
"Nepal","19.1000","30225.5820"
"American Samoa","19","55.0300"
"Turkmenistan","18.9000","6201.9430"
"Dominican Republic","18.9000","11056.3700"
"Kuwait","18.8000","4380.3260"
"Malaysia","18.8000","33181.0720"
"India","18.7000","1406631.7760"
"Bangladesh","18.6000","167885.6890"
"Venezuela","18.5000","29266.9910"
"Fiji","18.2000","909.4660"
"Mongolia","18.2000","3378.0780"
"Mexico","18.1000","131562.7720"
"Israel","17.9000","8922.8920"
"Myanmar","17.7000","55227.1430"
"Panama","17.6000","4446.9640"
"Ecuador","17.6000","18113.3610"
"Peru","17.6000","33684.2080"
"Nicaragua","17.5000","6779.1000"
"Kazakhstan","17.5000","19205.0430"
"Morocco","17.5000","37772.7560"
"Tunisia","17.4000","12046.6560"
"Iran","17.4000","86022.8370"
"Libya","17.2000","7040.7450"
"Bhutan","17","787.9410"
"Brunei","16.9000","445.4310"
"Paraguay","16.6000","7305.8430"
"Uzbekistan","16.6000","34382.0840"
"Jamaica","16.5000","2985.0940"
"Argentina","16.5000","46010.2340"
"Maldives","16.1000","540.9850"
"El Salvador","16.1000","6550.3890"
"Indonesia","15.9000","279134.5050"
"Colombia","15.8000","51512.7620"
"Antigua and Barbuda","15.6000","99.5090"
"Suriname","15.6000","596.8310"
"Saudi Arabia","15.6000","35844.9090"
"Guyana","15.4000","794.0450"
"Turkey","15.4000","85561.9760"
"Costa Rica","15.3000","5182.3540"
"Azerbaijan","15.3000","10300.2050"
"Grenada","15.2000","113.4750"
"Vietnam","15.2000","98953.5410"
"Turks and Caicos Islands","14.9000","39.7410"
"Northern Mariana Islands","14.9000","58.2690"
"New Caledonia","14.8000","290.9150"
"Sri Lanka","14.8000","21575.8420"
"North Korea","14.6000","25990.6790"
"Faroe Islands","14.5000","49.2330"
"French Polynesia","14.5000","284.1640"
"Greenland","14.3000","56.9730"
"Lebanon","14.1000","6684.8490"
"Brazil","13.9000","215353.5930"
"Ireland","13.8000","5020.1990"
"Cook Islands","13.7000","17.5710"
"Iceland","13.6000","345.3930"
"Seychelles","13.4000","99.4260"
"Chile","13.4000","19250.1950"
"Albania","13.2000","2866.3740"
"Saint Lucia","13.1000","185.1130"
"Bahrain","13.1000","1783.9830"
"New Zealand","13.1000","4898.2030"
"Saint Kitts and Nevis","13","53.8710"
"Saint Vincent and the Grenadines","13","111.5510"
"Uruguay","13","3496.0160"
"Mauritius","12.8000","1274.7270"
"Armenia","12.6000","2971.9660"
"United States Virgin Islands","12.5000","103.9710"
"Anguilla","12.4000","15.2300"
"United States","12.4000","334805.2690"
"Aruba","12.3000","107.6090"
"Trinidad and Tobago","12.3000","1406.5850"
"Norway","12.2000","5511.3700"
"Georgia","12.1000","3968.7380"
"Sweden","12.1000","10218.9710"
"France","12.1000","65584.5180"
"China","12.1000","1448471.4000"
"Cayman Islands","12","67.2770"
"Australia","12","26068.7920"
"United Kingdom","12","68497.9070"
"Montenegro","11.9000","627.9500"
"Barbados","11.6000","288.0230"
"Luxembourg","11.6000","642.3710"
"Palau","11.3000","18.2330"
"Bermuda","11.3000","61.9390"
"Belgium","11.3000","11668.2780"
"Moldova","11.2000","4013.1710"
"British Virgin Islands","11.1000","30.5960"
"Thailand","11","70078.2030"
"Falkland Islands","10.9000","3.5390"
"Isle of Man","10.9000","85.7320"
"Denmark","10.9000","5834.9500"
"Netherlands","10.9000","17211.4470"
"North Macedonia","10.8000","2081.3040"
"Finland","10.7000","5554.9600"
"Russia","10.7000","145805.9470"
"Cuba","10.6000","11305.6520"
"Montserrat","10.5000","4.9650"
"Switzerland","10.5000","8773.6370"
"Liechtenstein","10.4000","38.3870"
"Canada","10.2000","38388.4190"
"Ukraine","10.1000","43192.1220"
"Malta","10","444.0330"
"Belarus","10","9432.8000"
"Estonia","9.9000","1321.9100"
"Lithuania","9.8000","2661.7080"
"United Arab Emirates","9.8000","10081.7850"
"Latvia","9.6000","1848.8370"
"Slovakia","9.6000","5460.1930"
"Qatar","9.5000","2979.9150"
"Austria","9.5000","9066.7100"
"Poland","9.3000","37739.7850"
"Slovenia","9.2000","2078.0340"
"Czech Republic","9.2000","10736.7840"
"Spain","9","46719.1420"
"Serbia","8.9000","8653.0160"
"Hungary","8.9000","9606.2590"
"Croatia","8.8000","4059.2860"
"Hong Kong","8.8000","7604.2990"
"Bosnia and Herzegovina","8.7000","3249.3170"
"Singapore","8.7000","5943.5460"
"Romania","8.7000","19031.3350"
"San Marino","8.6000","34.0850"
"Germany","8.6000","83883.5960"
"Bulgaria","8.5000","6844.5970"
"Italy","8.5000","60262.7700"
"Macau","8.4000","667.4900"
"Greece","8.3000","10316.6370"
"South Korea","8.3000","51329.8990"
"Portugal","8.2000","10140.5700"
"Taiwan","8.2000","23888.5950"
"Japan","8","125584.8380"
"Andorra","7.3000","77.4630"
"Monaco","6.5000","39.7830"